[starpu][compare_value_and_recalibrate] Current configuration does not match the bus performance model (CUDA: (stored) 6 != (current) 8), recalibrating...
[starpu][benchmark_all_gpu_devices] CUDA 0...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] CUDA 1...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] CUDA 2...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] CUDA 3...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] CUDA 4...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] CUDA 5...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] CUDA 6...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] CUDA 7...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] CUDA 7 -> 4...
[starpu][measure_bandwidth_between_dev_and_dev_cuda] GPU-Direct 4 -> 7
[starpu][measure_bandwidth_between_dev_and_dev_cuda] GPU-Direct 7 -> 4
[starpu][benchmark_all_gpu_devices] CUDA 7 -> 5...
[starpu][measure_bandwidth_between_dev_and_dev_cuda] GPU-Direct 5 -> 7
[starpu][measure_bandwidth_between_dev_and_dev_cuda] GPU-Direct 7 -> 5
[starpu][benchmark_all_gpu_devices] CUDA 7 -> 6...
[starpu][measure_bandwidth_between_dev_and_dev_cuda] GPU-Direct 6 -> 7
[starpu][measure_bandwidth_between_dev_and_dev_cuda] GPU-Direct 7 -> 6
[starpu][benchmark_all_gpu_devices] OpenCL 0...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] OpenCL 1...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] OpenCL 2...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] OpenCL 3...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] OpenCL 4...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] OpenCL 5...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] OpenCL 6...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][benchmark_all_gpu_devices] OpenCL 7...
[starpu][measure_bandwidth_between_numa_nodes_and_dev] with NUMA 0...
[starpu][compare_value_and_recalibrate] ... done
[starpu][compare_value_and_recalibrate] Current configuration does not match the bus performance model (OpenCL: (stored) 6 != (current) 8), recalibrating...
[starpu][compare_value_and_recalibrate] ... done
MATRIX GENERATED
[starpu][starpu_interface_end_driver_copy_async] Warning: the submission of asynchronous transfer from CUDA 2 to CUDA 4 took a very long time (0.755148 ms)
For proper asynchronous transfer overlapping, data registered to StarPU must be allocated with starpu_malloc() or pinned with starpu_memory_pin()
# size	ms	GFlop/s
24000	2539	3629.7
MATRIX GENERATED
[starpu][starpu_interface_end_driver_copy_async] Warning: the submission of asynchronous transfer from CUDA 2 to CUDA 0 took a very long time (0.662595 ms)
For proper asynchronous transfer overlapping, data registered to StarPU must be allocated with starpu_malloc() or pinned with starpu_memory_pin()
# size	ms	GFlop/s
24000	2601	3543.8
MATRIX GENERATED
[starpu][starpu_interface_end_driver_copy_async] Warning: the submission of asynchronous transfer from CUDA 2 to CUDA 4 took a very long time (0.481988 ms)
For proper asynchronous transfer overlapping, data registered to StarPU must be allocated with starpu_malloc() or pinned with starpu_memory_pin()
# size	ms	GFlop/s
24000	2556	3605.4
MATRIX GENERATED
# size	ms	GFlop/s
24000	2546	3619.5
MATRIX GENERATED
[starpu][starpu_interface_end_driver_copy_async] Warning: the submission of asynchronous transfer from CUDA 5 to CUDA 2 took a very long time (0.374388 ms)
For proper asynchronous transfer overlapping, data registered to StarPU must be allocated with starpu_malloc() or pinned with starpu_memory_pin()
# size	ms	GFlop/s
24000	2558	3602.2
MATRIX GENERATED
[starpu][starpu_interface_end_driver_copy_async] Warning: the submission of asynchronous transfer from CUDA 3 to CUDA 2 took a very long time (0.741331 ms)
For proper asynchronous transfer overlapping, data registered to StarPU must be allocated with starpu_malloc() or pinned with starpu_memory_pin()
# size	ms	GFlop/s
24000	2533	3638.9
MATRIX GENERATED
[starpu][starpu_interface_end_driver_copy_async] Warning: the submission of asynchronous transfer from NUMA 0 to CUDA 0 took a very long time (0.443077 ms)
For proper asynchronous transfer overlapping, data registered to StarPU must be allocated with starpu_malloc() or pinned with starpu_memory_pin()
# size	ms	GFlop/s
24000	2552	3611.4
MATRIX GENERATED
[starpu][starpu_interface_end_driver_copy_async] Warning: the submission of asynchronous transfer from CUDA 0 to CUDA 2 took a very long time (0.380950 ms)
For proper asynchronous transfer overlapping, data registered to StarPU must be allocated with starpu_malloc() or pinned with starpu_memory_pin()
# size	ms	GFlop/s
24000	2558	3603.4
MATRIX GENERATED
[starpu][starpu_interface_end_driver_copy_async] Warning: the submission of asynchronous transfer from CUDA 1 to CUDA 0 took a very long time (0.389776 ms)
For proper asynchronous transfer overlapping, data registered to StarPU must be allocated with starpu_malloc() or pinned with starpu_memory_pin()
# size	ms	GFlop/s
24000	2510	3671.1
MATRIX GENERATED
[starpu][starpu_interface_end_driver_copy_async] Warning: the submission of asynchronous transfer from CUDA 4 to CUDA 6 took a very long time (5.505933 ms)
For proper asynchronous transfer overlapping, data registered to StarPU must be allocated with starpu_malloc() or pinned with starpu_memory_pin()
# size	ms	GFlop/s
24000	2541	3626.7
MATRIX GENERATED
# size	ms	GFlop/s
24000	2575	3578.8
